# Спосабы словаўтварэння:
# 
# _START_DICTIONARY
# 0. утваральнае слова
# 1. суфіксальны ад
# 1n. суфіксальны ад
# 2. прыставачны ад
# 3. прыставачна-суфіксальны ад
# 4. постфіксальны ад
# 5. прыставачна-постфіксальны ад
# 6. прыставачна-нульсуфіксальны ад
# 7. нульсуфіксальны ад
# 8. складанне асноў са злучальнай марфемай ад
# 9. складанне асноў + суфіксальны ад
# 10. складанне асноў + нульсуфікс у канцы другой часткі ад
# 11. словаскладанне ад
# 12. складанаскарочанае ад
# 13. марфолага-сінтаксічны ад
# 14. лексіка-семантычны ад
# 15. суфіксальна-поствіксальны ад
# 16. прыставачна-суфіксальна-постфіксальны ад
# 17. асноваскладанне ад
# 18. форма слова
# _END_DICTIONARY

1.  абавязак	абавязаць -->1	//абавяз(=<обо>-//вяз//)//-ак-/0/
2142.  масавы	маса -->1	//ма%с(=мас)//-ав-/ы/
2143.  маска	0 -->	//ма%ск(=маск)//-/а/
2144.  мастак	0 -->	//маста%к(=мастак)//-/0/
2145.  мастацкі	мастак -->1	//маста%[ц(=мастак)//-к]-/і/
2146.  мастацтва	мастак -->1	//маста%[ц(=мастак)//-тв]-/а/
2147.  масток	мост -->1	//маст(=мост)//-о%к-/0/
2148.  матка	маці -->1	//ма%т(=мац)//-к-/а/
2149.  матор	0 -->	//мато%р(=матор)//-/0/
2150.  матуля	маці -->1	//мат(=мац)//-у%л-/я/
2151.  матчын	матка -->1	//ма%т(=мац)//-ч-ын-/0/
2152.  матыў	0 -->	//маты%ў(=матыў)//-/0/
2153.  матэрыял	0 -->	//матэры(=матэрый)//-я%л-/0/
2154.  маўклівы	маўчаць -->1	//маўк(=моўч)//-лі%в-/ы/
2155.  маўчанне	маўчаць -->1	//маўч(=моўч)//-а%-нн-/е/
2156.  маўчаць	0 -->	//маўч(=моўч)//-а%-ць
2157.  мах	махаць -->7	//мах(=май1)//-:@:-/0/
2158.  махаць	0 -->	//мах(=май1)//-а%-ць
2159.  махнуць	махаць -->1n	//мах(=май1)//-ну%-ць
2160.  мацаць	0 -->	//ма%ц(=мац1)//-а-ць
2161.  маці	0 -->	//ма%ц(=мац)//-і
2162.  мацней	моцна -->18	//мац(=моц)//-н-е%й
2163.  мацнейшы	моцны -->18	//мац(=моц)//-н-е%йш-/ы/
2164.  мацнець	моцны -->1	//мац(=моц)//-н-е%-ць
2165.  машына	0 -->	//машы%н(=машын)//-/а/
2166.  машынка	машына -->1	//машы%н(=машын)//-к-/а/
2167.  медны	медзь -->1	//ме%д(=медзь)//-н-/ы/
2168.  мел	0 -->	//мел(=мел1)//-/0/
2169.  мелодыя	0 -->	//мело%д(=мелод)//-ы-/я/
2170.  меней	мала -->18	//ме%н(=мал1)//-ей
2171.  меншы	малы -->18	//ме%н(=мал1)//-ш-/ы/
2172.  мера	мераць -->7	//ме%р(=мер)//-:@:-/а/
2173.  мераць	0 -->	//ме%р(=мер)//-а-ць
2174.  меркаванне	меркаваць -->1	//мерк(=мерк)//-ава%-нн-/е/
2175.  меркаваць	0 -->	//мерк(=мерк)//-ава%-ць
2176.  местачковы	мястэчка -->1	//местач(=точ)к(=мест)//-о%в-/ы/
2177.  месца	0 -->	//ме%сц(=мест)//-/а/
2178.  месяц	0 -->	//ме%сяц(=месяц)//-/0/
2179.  месячны	месяц -->1	//ме%сяч(=месяц)//-н-/ы/
2180.  металічны	метал -->1	//метал(=метал)//-і%чн-/ы/
2181.  метр	0 -->	//метр(=метр)//-/0/
2182.  мех	0 -->	//мех(=мех)//-/0/
2183.  меціць	0 -->	//ме%ц(=мет1)//-і-ць
2184.  мецца	мець -->4	//ме%(=імат)//-ц-{ца}
2185.  мець	0 -->	//ме(=імат)//-ць
2186.  меч	0 -->	//меч(=меч)//-/0/
2187.  мёд	0 -->	//мёд(=мёд)//-/0/
2188.  мёртвы	0 -->	//мё%ртв(=мр)//-/ы/
2189.  міг	0 -->	//міг(=міг)//-/0/
2190.  міжвольны	воля -->3	//між(=меж)//-//во%ль(=воль)//-н-/ы/
2191.  міласць	0 -->	//мі%л(=міл)//-асць-/0/
2192.  міліцыя	0 -->	//мілі%цы(=міліцый)//-/я/
2193.  міліцыянер	міліцыя -->1	//міліцы(=міліцый)//-яне%р-/0/
2194.  мілы	0 -->	//мі%л(=міл)//-/ы/
2195.  мільгануць	мільгаць -->1	//мільг(=мільг)//-ану%-ць
2196.  мільгаць	0 -->	//мільг(=мільг)//-а%-ць
2197.  міля	0 -->	//мі%л(=міля)//-/я/
2198.  мімаволі	воля -->3	<міма(=мін1)>-//во%л(=воль)//-і
2199.  міна	0 -->	//мі%н(=міна)//-/а/
2200.  міна	0 -->	//мі%н(=міна1)//-/а/
2201.  мінаць	мінуць -->1n	//мін(=мін)//-а%-ць
2202.  міністр	0 -->	//міні%стр(=міністр)//-/0/
2203.  мінулае	мінулы -->18	[//мі(=мін)//-н]у%-л-/ае/
2204.  мінулы	мінуць -->1	[//мі(=мін)//-н]у%-л-/ы/
2205.  мінуць	0 -->	[//мі(=мін)//-н]у%-ць
2206.  мір	0 -->	//мір(=мір)//-/0/
2207.  мірны	мір -->1	//мі%р(=мір)//-н-/ы/
2208.  мірыць	мір -->1	//мір(=мір)//-ы%-ць
2209.  міска	міса -->1	//мі%с(=міса)//-к-/а/
2210.  мітусіцца	0 -->	//мітус(=мітус)//-і%-ц-{ца}
2211.  мітусня	мітусіцца -->1	//мітус(=мітус)//-н-/я%/
2212.  млын	0 -->	//млын(=мол)//-/0/
2213.  мноства	многа -->1	//мно%(=мног)//-ств-/а/
2214.  мова	мовіць -->7	//мо%в(=мов)//-/а/
2215.  могілкі	магіла -->1	//мо%гіл(=магіл)//-к-/і/
2216.  мода	0 -->	//мо%д(=мод)//-/а/
2217.  модны	мода -->1	//мо%д(=мод)//-н-/ы/
2218.  можна	0 -->	//мо%ж(=мог)//-н-/а/
2219.  мозг	0 -->	//мозг(=мозг)//-/0/
2220.  мокры	0 -->	//мо%кр(=мок)//-/ы/
2221.  моладзь	малады -->7	//мо%ладзь(=малад)//-:@:-/0/
2222.  молат	0 -->	//мо%лат(=мол)//-/0/
2223.  момант	0 -->	//мо%мант(=момант)//-/0/
2224.  мор	марыць -->7	//мор(=мр3)//-:@:-/0/
2225.  мора	0 -->	//мо%р(=мор)//-/а/
2226.  морда	0 -->	//мо%рд(=морд)//-/а/
2227.  мост	0 -->	//мост(=мост)//-/0/
2228.  моўчкі	маўчаць -->1	//мо%ўч(=моўч)//-кі
2229.  мох	0 -->	//мох(=мх)//-/0/
2230.  моц	0 -->	//моц(=моц)//-/0/
2231.  моцна	моцны -->1	//мо%ц(=моц)//-н-/а/
2232.  моцны	моц -->1	//мо%ц(=моц)//-н-/ы/
2233.  мудрасць	мудры -->1	//му%др(=мудр)//-асць-/0/
2234.  мудры	0 -->	//му%др(=мудр)//-/ы/
2235.  мудрэц	мудры -->1	//мудр(=мудр)//-э%ц-/0/
2236.  муж	0 -->	//муж(=муж)//-/0/
2237.  мужнасць	мужны -->1	//му%ж(=муж)//-н-асць-/0/
2238.  мужны	0 -->	//му%ж(=муж)//-н-/ы/
2239.  мужчына	0 -->	//муж(=муж)//-чы%н-/а/
2240.  мужчынскі	мужчына -->1	//муж(=муж)//-чы%н-ск-/і/
2241.  мужык	муж -->1	//муж(=муж)//-ы%к-/0/
2242.  мужыцкі	мужык -->1	//муж(=муж)//-ы%[ц-к]-/і/
2243.  музей	0 -->	//музе%й(=музей)//-/0/
2244.  музыка	0 -->	//му%зык(=музык)//-/а/
2245.  музыка	му%зыка -->1	//музы%к(=музык)//-/а/
2246.  мука	мучыць -->7	//му%к(=мяк2)//-:@:-/а/
2247.  мука	0 -->	//мук(=мяк1)//-/а%/
2248.  мур	0 -->	//мур(=мур)//-/0/
2249.  мурашка	мураш -->1	//мура%ш(=мурах)//-к-/а/
2250.  мутны	0 -->	//му%т(=мут)//-н-/ы/
2251.  муха	0 -->	//му%х(=мух)//-/а/
2252.  мучыцца	мучыць -->4	//му%ч(=мяк2)//-ы-ц-{ца}
2253.  мучыць	0 -->	//му%ч(=мяк2)//-ы-ць
2254.  мыць	0 -->	//мы(=мыц)//-ць
2255.  мыш	0 -->	//мыш(=мыш)//-/0/
2256.  мэбля	0 -->	//мэ%бл(=мэбл)//-/я/
2257.  мэта	0 -->	//мэ%т(=мэт)//-/а/
2258.  мядзведзь	0 -->	//мядзве%дзь(=//мёд//-//вед1//)//-/0/
2259.  мяжа	0 -->	//мяж(=меж)//-/а%/
2260.  мяккі	0 -->	//мя%кк(=мяк)//-/і/
2261.  мянушка	імя -->1	//м(=ім)//-ян-у%шк-/а/
2262.  мяняцца	мяняць -->4	//мян(=мен)//-я%-ц-{ца}
2263.  мяняць	0 -->	//мян(=мен)//-я%-ць
2264.  мяса	0 -->	//мя%с(=мяс)//-/а/
2265.  мястэчка	месца -->1	//мяст(=мест)//-э%чк-/а/
2266.  мясціна	месца -->1	//мясц(=мест)//-і%н-/а/
2267.  мясцовасць	мясцовы -->1	//мясц(=мест)//-о%в-асць-/0/
2268.  мясцовы	месца -->1	//мясц(=мест)//-о%в-/ы/
2269.  мяць	0 -->	//мя%(=мн)//-ць
2270.  мяч	0 -->	//мяч(=мяч)//-/0/
2271.  мяшок	мех -->1	//мяш(=мех)//-о%к-/0/
2272.  наадварот	адварот -->	<на(=на)>-<ад(=от)>-//варо%т(=вьрт)//
2273.  набіраць	набраць -->1n	<на(=на)>-//бір(=бр)//-а%-ць
2274.  набліжацца	наблізіцца -->1n	<на(=на)>-//бліж(=бліз)//-а%-ц-{ца}
2275.  наблізіцца	наблізіць -->4	<на(=на)>-//блі%з(=бліз)//-і-ц-{ца}
2276.  набожны	бог -->3	<на(=на)>-//бо%ж(=бог)//-н-/ы/
2277.  набрацца	набраць -->4	<на(=на)>-//бр(=бр)//-а%-ц-{ца}
2278.  набраць	браць -->2	<на(=на)>-//бр(=бр)//-а%-ць
2279.  набываць	набыць -->1	<на(=на)>-//бы(=бы)//-ва%-ць
2280.  набыць	быць -->2	<на(=на)>-//бы%(=бы)//-ць
2281.  наважыцца	наважыць -->4	<на(=на)>-//ва%ж(=ваг)//-ы-ц-{ца}
2282.  наваколле	навокал -->1	<на(=на)>-//вако%лл(=кол1)//-/е/
2283.  навакольны	навокал -->1	<на(=на)>-//вако%ль(=кол1)//-н-/ы/
2284.  навала	наваліць -->7	<на(=на)>-//ва%л(=вал)//-:@:-/а/
2285.  наваліцца	наваліць -->4	<на(=на)>-//вал(=вал)//-і%-ц-{ца}
2286.  навальніца	0 -->	//навальні%ц(=вал1)//-/а/
2287.  наведаць	ведаць -->2	<на(=на)>-//ве%д(=вед1)//-а-ць
2288.  наведваць	наведаць -->1	<на(=на)>-//ве%д(=вед1)//-ва-ць
2289.  навек	век -->6	<на(=на)>-//ве%к(=век)//-:@:
2290.  наверх	верх -->6	<на(=на)>-//ве%рх(=верх)//-:@:
2291.  навесці	весці -->2	<на(=на)>-//ве%с(=вед)//-ці
2292.  навіна	новы -->1	//нав(=нов)//-ін-/а%/
2293.  наводзіць	навесці -->1n	<на(=на)>-//во%дз(=вед)//-і-ць
2294.  навокал	вакол -->6	<на(=на)>-//во%кал(=кол1)//-:@:
2295.  навука	навучыць -->7	<на(=на)>-//ву%к(=уч)//-/а/
2296.  навуковы	навука -->1	<на(=на)>-//вук(=уч)//-о%в-/ы/
2297.  навучыцца	навучыць -->4	<на(=на)>-//вуч(=уч)//-ы%-ц-{ца}
2298.  навучыць	вучыць -->2	<на(=на)>-//вуч(=уч)//-ы%-ць
2299.  нага	0 -->	//наг(=ног)//-/а%/
2300.  нагадаць	гадаць -->2	<на(=на)>-//гад(=гад2)//-а%-ць
2301.  нагадваць	нагадаць -->1	<на(=на)>-//га%д(=гад2)//-ва-ць
2302.  нагляд	наглядаць -->7	<на(=на)>-//гля%д(=гляд)//-:@:-/0/
2303.  нагнаць	гнаць -->2	<на(=на)>-//гн(=гн)//-а%-ць
2304.  нагнуцца	нагнуць -->4	<на(=на)>-//г(=гіб)//-ну%-ц-{ца}
2305.  надаваць	даваць -->2	<на(=на)>-//да(=да)//-ва%-ць
2306.  надакучыць	дакучаць -->3	<на(=на)>-//даку%ч(=кук)//-ы-ць
2307.  надаць	даць -->2	<на(=на)>-//да%(=да)//-ць
2308.  надвор'е	0 -->	//надво%р'(=двор)//-/е/
2309.  надзвычай	0 -->	<над(=над)>-<з(=с)>-//вы%ч(=вык)//-ай
2310.  надзвычайны	звычайны -->2	<над(=над)>-<з(=с)>-//выч(=вык)//-а%й-н-/ы/
2311.  надзейны	надзеяцца -->1	//надзе%й(=нада)//-н-/ы/
2312.  надзець	0 -->	<на(=на)>-//дзе%(=дзе)//-ць
2313.  надзея	надзеяцца -->7	//надзе%(=нада)//-:@:-/я/
2314.  надоўга	доўга -->2	<на(=на)>-//до%ўг(=даль)//-а
2315.  надпіс	надпісаць -->7	<на%д(=над)>-//піс(=піс)//-:@:-/0/
2316.  надумацца	надумаць -->4	<на(=на)>-//ду%м(=дум)//-а-ц-{ца}
2317.  надумаць	думаць -->2	<на(=на)>-//ду%м(=дум)//-а-ць
2318.  надысці	ісці -->2	над-//ыс(=ід)//-ці%
2319.  наезд	наездзіць -->7	<на(=на)>-//е%зд(=ет)//-:@:-/0/
2320.  назад	зад -->6	<на(=на)>-//за%д(=зад)//-:@:
2321.  назаўтра	заўтра -->2	<на(=на)>-//за%ўтра(=утр)//
2322.  назва	назваць -->7	<на%(=на)>-//зв(=зв)//-:@:-/а/
2323.  назваць	зваць -->2	<на(=на)>-//зв(=зв)//-а%-ць
2324.  назіраць	0 -->	<на(=на)>-//зір(=зор)//-а%-ць
2325.  называцца	называць -->4	<на(=на)>-//зыв(=зв)//-а%-ц-{ца}
2326.  называць	назваць -->1n	<на(=на)>-//зыв(=зв)//-а%-ць
2327.  наіўны	0 -->	//наі%ўн(=наіўн)//-/ы/
2328.  найміт	наймаць -->1	<на%(=на)>-//йм(=нім)//-іт-/0/
2329.  наказ	наказаць -->7	<на(=на)>-//ка%з(=каз)//-:@:-/0/
2330.  накарміць	карміць -->2	<на(=на)>-//карм(=корм)//-і%-ць
2331.  накінуцца	накінуць -->4	<на(=на)>-//кі%(=кідн)//-ну-ц-{ца}
2332.  накінуць	кінуць -->2	<на(=на)>-//кі%(=кідн)//-ну-ць
2333.  накіравацца	накіраваць -->4	<на(=на)>-//кір(=кір)//-ав-а%-ц-{ца}
2334.  накіраваць	кіраваць -->2	<на(=на)>-//кір(=кір)//-ав-а%-ць
2335.  накрыць	крыць -->2	<на(=на)>-//кры%(=кры)//-ць
2336.  наладзіць	ладзіць -->2	<на(=на)>-//ла%дз(=лад)//-і-ць
2337.  налева	левы -->3	<на(=на)>-//ле%в(=лев)//-а
2338.  належаць	0 -->	//нале%ж(=лег)//-а-ць
2339.  належны	належаць -->1	//нале%ж(=лег)//-н-/ы/
2340.  наліваць	наліць -->1	<на(=на)>-//лі(=лей)//-ва%-ць
2341.  наліцца	наліць -->4	<на(=на)>-//лі%(=лей)//-ц-{ца}
2342.  наліць	ліць -->2	<на(=на)>-//лі%(=лей)//-ць
2343.  наляцець	ляцець -->2	<на(=на)>-//ляц(=лят)//-е%-ць
2344.  намаганне	намагацца -->1	<на(=на)>-//маг(=мог)//-а%-нн-/е/
2345.  намагацца	0 -->	<на(=на)>-//маг(=мог)//-а%-ц-{ца}
2346.  намаляваць	маляваць -->2	<на(=на)>-//мал(=мал)//-яв-а%-ць
2347.  намацаць	мацаць -->2	<на(=на)>-//ма%ц(=мац1)//-а-ць
2348.  намер	намерыцца -->7	<на(=на)>-//ме%р(=мер)//-:@:-/0/
2349.  намерыцца	мерыцца -->2	<на(=на)>-//ме%р(=мер)//-ы-ц-{ца}
2350.  намеснік	месца -->3	<на(=на)>-//ме%с(=мест)//-нік-/0/
2351.  намёк	намякаць -->7	//намё%к(=намяк)//-:@:-/0/
2352.  нанесці	несці -->2	<на(=на)>-//не%с(=нос)//-ці
2353.  наняць	0 -->	<на(=на)>-//ня%(=нім)//-ць
2354.  наогул	агульны -->6	<на(=на)>-//о%гул(=огул)//
2355.  напад	нападаць -->7	<на(=на)>-//па%д(=пад)//-:@:-/0/
2356.  нападаць	падаць -->2	<на(=на)>-//па%д(=пад)//-а-ць
2357.  нападаць	напасці -->1	<на(=на)>-//пад(=пад)//-а%-ць
2358.  напал	напаліць -->7	<на(=на)>-//па%л(=пал)//-:@:-/0/
2359.  напаліць	паліць -->2	<на(=на)>-//пал(=пал)//-і%-ць
2360.  напалову	палова -->3	<на(=на)>-//пал(=пол)//-о%в-у
2361.  напалохаць	палохаць -->2	<на(=на)>-//пало%х(=палох)//-а-ць
2362.  напасці	пасці -->2	<на(=на)>-//па%с(=пад)//-ці
2363.  напаткаць	0 -->	<на(=на)>-//патк(=тык1)//-а%-ць
2364.  напаўняць	напоўніць -->1n	<на(=на)>-//паўн(=поўн)//-я%-ць
2365.  наперад	перад -->6	<на(=на)>-//пе%рад(=перад)//-:@:
2366.  наперадзе	перад -->3	<на(=на)>-//пе%радз(=перад)//-е
2367.  напісаць	пісаць -->2	<на(=на)>-//піс(=піс)//-а%-ць
2368.  напіцца	піць -->5	<на(=на)>-//пі%(=пі)//-ц-{ца}
2369.  напоўніць	поўны -->3	<на(=на)>-//по%ўн(=поўн)//-і-ць
2370.  направа	правы -->3	<на(=на)>-//пра%в(=прав)//-а
2371.  напрамак	прамы -->3	<на(=на)>-//пра%м(=прамл)//-ак-/0/
2372.  напрыклад	прыклад -->6	<на(=на)>-//пры%клад(=клад)//-:@:
2373.  напэўна	пэўна -->2	<на(=на)>-//пэ%ўн(=пэўн)//-а
2374.  нара	0 -->	//нар(=нор)//-/а%/
2375.  нарабіць	рабіць -->2	<на(=на)>-//раб(=роб)//-і%-ць
2376.  нарад	нарадзіць -->7	<на(=на)>-//ра%д(=рад)//-:@:-/0/
2377.  нарад	0 -->	//нара%д(=рад)//-/0/
2378.  нарада	радзіцца -->3	<на(=на)>-//ра%д(=рад1)//-/а/
2379.  нараджацца	нараджаць -->4	<на(=на)>-//радж(=род)//-а%-ц-{ца}
2380.  нараджаць	нарадзіць -->1n	<на(=на)>-//радж(=род)//-а%-ць
2381.  нараджэнне	нарадзіць -->1	<на(=на)>-//радж(=род)//-э%нн-/е/
2382.  нарадзіцца	нарадзіць -->4	<на(=на)>-//радз(=род)//-і%-ц-{ца}
2383.  нарадзіць	радзіць -->2	<на(=на)>-//радз(=род)//-і%-ць
2384.  наракаць	наракці -->	//нарак(=рок)//-а%-ць
2385.  нармальны	норма -->1	//нарм(=норм)//-а%льн-/ы/
2386.  народ	0 -->	//наро%д(=род)//-/0/
2387.  народны	народ -->1	//наро%д(=род)//-н-/ы/
2388.  нары	0 -->	//на%р(=нар)//-/ы/
2389.  нарэшце	рэшта -->3	<на(=на)>-//рэ%шц(=рэшт)//-е
2390.  насельніцтва	насяляць -->1	<на(=на)>-//се%ль(=сел)//-ні[ц-тв]-/а/
2391.  насенне	насеяць -->1	//насе%нн(=сей)//-/е/
2392.  насіцца	насіць -->4	//нас(=нос)//-і%-ц-{ца}
2393.  насіць	0 -->	//нас(=нос)//-і%-ць
2394.  наскрозь	скрозь -->2	<на(=на)>-//скро%зь(=скроз)//
2395.  наставіць	ставіць -->2	<на(=на)>-//ста%в(=стай)//-і-ць
2396.  настаўнік	настаўляць -->1	//наста%ў(=стай)//-нік-/0/
2397.  настаць	стаць -->2	<на(=на)>-//ста%(=стай)//-ць
2398.  настойлівы	настаяць -->1	<на(=на)>-//сто%й(=стай)//-лів-/ы/
2399.  настроіць	строіць -->2	<на(=на)>-//стро%(=строй)//-і-ць
2400.  настрой	настроіць -->7	<на(=на)>-//стро%й(=строй)//-:@:-/0/
2401.  наступ	наступаць -->7	<на%(=на)>-//ступ(=ступ)//-:@:-/0/
2402.  наступаць	наступіць -->1n	<на(=на)>-//ступ(=ступ)//-а%-ць
2403.  наступіць	ступіць -->2	<на(=на)>-//ступ(=ступ)//-і%-ць
2404.  наступны	наступаць -->1	<на(=на)>-//сту%п(=ступ)//-н-/ы/
2405.  насуперак	0 -->	<на(=на)>-<су%(=су)>-//перак(=перак)//-/0/
2406.  насупраць	супраць -->2	<на(=на)>-<су%(=су)>-//праць(=проціў)//
2407.  насустрач	сустракаць -->6	<на(=на)>-<су%(=су)>-//стра(=стрэц)//-ч
2408.  насыпаць	сыпаць -->2	<на(=на)>-//сы%п(=сыпл)//-а-ць
2409.  насыпаць	насы%паць -->1n	<на(=на)>-//сып(=сыпл)//-а%-ць
2410.  натоўп	0 -->	<на(=на)>-//то%ўп(=тлмп)//-/0/
2411.  натура	0 -->	//нату%р(=натур)//-/а/
2412.  натуральны	натура -->1	//натур(=натур)//-а%льн-/ы/
2413.  нахабны	0 -->	<на(=на)>-//ха%б(=хаб)//-н-/ы/
2414.  нахіліцца	нахіліць -->4	<на(=на)>-//хіл(=хіл)//-і%-ц-{ца}
2415.  націск	націскаць -->7	<на%(=на)>-//ціск(=ціск)//-:@:-/0/
2416.  націск	націскаць -->7	//на%ціск(=ціск)//-:@:-/0/
2417.  націснуць	ціснуць -->2	<на(=на)>-//ці%с(=ціск)//-ну-ць
2418.  нацыя	0 -->	//на%цы(=нацый)//-/я/
2419.  нацыянальны	нацыя -->1	//нацы(=нацый)//-яна%льн-/ы/
2420.  нацягнуць	цягнуць -->2	<на(=на)>-//цяг(=цяг)//-ну%-ць
2421.  начаваць	ноч -->1	//нач(=ноч)//-ава%-ць
2422.  начальнік	0 -->	//нача%ль(=чал2)//-нік-/0/
2423.  начальства	начальнік -->1	//нача%ль(=чал2)//-ств-/а/
2424.  начны	ноч -->1	//нач(=ноч)//-н-/ы%/
2425.  нашчадак	0 -->	//нашча%дак(=чада)//-/0/
2426.  неабходны	абходны -->2	//неабхо%дн(=ход)//-/ы/
2427.  неадкладны	адкласці -->3	<не(=не)>-<ад(=от)>-//кла%д(=клад)//-н-/ы/
2428.  неба	0 -->	//не%б(=неб)//-/а/
2429.  небарака	0 -->	//небара%к(=бор1)//-/а/
2430.  небяспека	бяспека -->2	<не(=не)>-//бяспе%к(=пек)//-/а/
2431.  небяспечны	бяспечны -->2	<не(=не)>-//бяспе%ч(=пек)//-н-/ы/
2432.  неверагодны	верагодны -->2	<не(=не)>-//вер(=вер)//-|а|-//го%д(=гад2)//-н-/ы/
2433.  невыразны	выразны -->2	<не(=не)>-//выра%з(=рэз)//-н-/ы/
2434.  невысокі	высокі -->2	<не(=не)>-//высо%к(=выс)//-/і/
2435.  невядомы	вядомы -->2	<не(=не)>-//вяд(=вед1)//-о%м-/ы/
2436.  невялікі	вялікі -->2	<не(=не)>-//вялі%к(=вел)//-/і/
2437.  невялічкі	невялікі -->1	<не(=не)>-//вял(=вел)//-і%ч-к-/і/
2438.  недаверлівы	даверлівы -->2	<не(=не)>-<да(=до)>-//ве%р(=вер)//-лів-/ы/
2439.  недалёкі	далёкі -->2	<не(=не)>-//далё%к(=даль)//-/і/
2440.  недарэчны	дарэчны -->2	//недарэ%ч(=рэч)//-н-/ы/
2441.  недахоп	хапаць -->6	<неда(=недо)>-//хо%п(=хопл)//-/0/
2442.  нежывы	жывы -->2	<не(=не)>-//жы(=жы)//-в-/ы%/
2443.  незадаволены	задаволены -->2	<не(=не)>-<за(=за)>-//даво%л(=воль)//-ен-/ы/
2444.  незалежны	залежны -->2	<не(=не)>-//зале%ж(=лег)//-н-/ы/
2445.  незвычайны	звычайны -->2	<не(=не)>-<з(=с)>-//выч(=вык)//-а%й-н-/ы/
2446.  нездаволены	здаволены -->2	<не(=не)>-<з(=с)>-//даво%л(=воль)//-ен-/ы/
2447.  нездарма	дарма -->2	<не(=не)>-<з(=с)>-//дарм(=да2)//-а%
2448.  незнаёмец	незнаёмы -->1	<не(=не)>-//знаё%м(=зна)//-ец-/0/
2449.  незнаёмы	знаёмы -->2	<не(=не)>-//знаё%м(=зна)//-/ы/
2450.  незразумелы	зразумелы -->2	<не(=не)>-з-//разум(=ум)//-е%-л-/ы/
2451.  нельга	льга -->2	<не%(=не)>-//льг(=льг)//-а
2452.  немаведама	0 -->	//нем(=нем)//-|а|-//ве%д(=вед1)//-ам-а
2453.  немагчымы	магчымы -->2	<не(=не)>-//маг(=мог)//-ч-ы%м-/ы/
2454.  немалы	малы -->2	<не(=не)>-//мал(=мал1)//-/ы%/
2455.  немы	0 -->	//не%м(=нем)//-/ы/
2456.  ненавідзець	0 -->	//ненаві%дз(=від)//-е-ць
2457.  непакоіць	0 -->	<не(=не)>-//пако%(=пакой)//-і-ць
2458.  непаразуменне	паразуменне -->2	<не(=не)>-<па(=по)>-//разум(=ум)//-е%нн-/е/
2459.  непасрэдны	пасрэдны -->2	<не(=не)>-//пасрэ%дн(=пасрэдн)//-/ы/
2460.  непатрэбны	патрэбны -->2	<не(=не)>-<па(=по)>-//трэ%б(=цераб1)//-н-/ы/
2461.  непрыемны	прыемны -->2	<не(=не)>-//прые%мн(=імат1)//-/ы/
2462.  непрыкметны	прыкметны -->2	<не(=не)>-<пры(=пры)>-//кме%т(=мет1)//-н-/ы/
2463.  непрыяцель	прыяцель -->2	<не%(=не)>-//прыяцель(=прыяць)//-/0/
2464.  непрыяцель	прыяцель -->2	<не(=не)>-//прыя%цель(=прыяць)//-/0/
2465.  неразумны	разумны -->2	<не(=не)>-//разу%м(=ум)//-н-/ы/
2466.  нерв	0 -->	//нерв(=нерв)//-/0/
2467.  нервовы	нерв -->1	//нерв(=нерв)//-о%в-/ы/
2468.  нерухомы	рухомы -->1	<не(=не)>-//рух(=рух)//-о%м-/ы/
2469.  неспадзеўка	неспадзяваны -->1	<не(=не)>-//спадзе%ў(=дзел1)//-к-/а/
2470.  неспадзяваны	спадзявацца -->3	<не(=не)>-//спадзяв(=дзел1)//-а%-н-/ы/
2471.  неспакой	спакой -->2	<не(=не)>-<с(=с)>-//пако%й(=пакой)//-/0/
2472.  неспакойны	спакойны -->2	<не(=не)>-<с(=с)>-//пако%й(=пакой)//-н-/ы/
2473.  несці	0 -->	//не%с(=нос)//-ці
2474.  несціся	несці -->4	//не%с(=нос)//-ці-{ся}
2475.  нетры	0 -->	//не%тр(=нетр)//-/ы/
2476.  неўзабаве	0 -->	<не(=не)>-<ў(=у)>-<за(=за)>-//ба%в(=бы)//-е
2477.  нецярплівасць	цярплівасць -->2	<не(=не)>-//цярп(=цярп)//-лі%в-асць-/0/
2478.  нецярплівы	цярплівы -->2	<не(=не)>-//цярп(=цярп)//-лі%в-/ы/
2479.  нечаканасць	нечаканы -->1	<не(=не)>-//чака%(=чака)//-н-асць-/0/
2480.  нечаканы	чаканы -->2	<не(=не)>-//чака%(=чака)//-н-/ы/
2481.  ніва	0 -->	//ні%в(=нів)//-/а/
2482.  ніводны	адзін -->6	<ні(=ні)>-//во%дн(=адзін)//-/ы/
2483.  ніжні	ніз -->1	//ні%ж(=ніз)//-н-/і/
2484.  ніжэй	нізка -->18	//ніж(=ніз)//-э%й
2485.  ніжэйшы	нізкі -->18	//ніж(=ніз)//-э%йш-/ы/
2486.  нізка	нізкі -->1	//ні%з(=ніз)//-к-а
2487.  нізка	нізаць -->1	//ні%з(=ніз)//-к-/а/
2488.  нізкі	0 -->	//ні%з(=ніз)//-к-/і/
2489.  нікчэмны	0 -->	//нікчэ%м(=нікчэм)//-н-/ы/
2490.  нітка	ніць -->1	//ні%т(=ніт1)//-к-/а/
2491.  новы	0 -->	//но%в(=нов)//-/ы/
2492.  нож	0 -->	//нож(=ніз2)//-/0/
2493.  ножка	нага -->1	//но%ж(=ног)//-к-/а/
2494.  ноздра	0 -->	//но%здр(=носс1)//-/а/
2495.  норма	0 -->	//но%рм(=норм)//-/а/
